name,purpose,processing,hypothesis,model_class,n_features,fold_a_precision_at_recall_070,fold_b_precision_at_recall_070,mean_precision_at_recall_070,decision,run_id
w8_blend_hgb_30,search,исходная,"смесь CatBoost по seed и HGB, вес HGB 0.3",blend,0,0.7351598173515982,0.7280334728033473,0.7315966450774727,rejected,cd4620d8c2474e9190f9013453d3455d
w8_blend_hgb_50,search,исходная,"смесь CatBoost по seed и HGB, вес HGB 0.5",blend,0,0.7207207207207207,0.7404255319148936,0.7305731263178071,rejected,61895790d5a5445c8aa3057da48a3add
w8_blend_hgb_70,search,исходная,"смесь CatBoost по seed и HGB, вес HGB 0.7",blend,0,0.7318181818181818,0.7280334728033473,0.7299258273107645,rejected,52ee41048fd9437799f7b519a678c1ea
w9_tempo,search,исходная,"минимальный интервал к медианному: AUC 0.670, остаток после признаков EDA 0.623, при 3-5 событиях 0.719",VotingClassifier,61,0.7441860465116279,0.6692307692307692,0.7067084078711985,rejected,5c004cb124bd4d89b841c14465353a05
w9_tempo_geo,search,исходная,"темп вместе с гео и категорией, две лучшие добавки",VotingClassifier,65,0.81,0.6987951807228916,0.7543975903614458,alternative,f954ef3331714353bc409ad6bd37e576
final_reproduce,reproduce,исходная,воспроизведение w6_seeds_1500 из final_choice.json,VotingClassifier,58,0.7547169811320755,0.7172131147540983,0.7359650479430869,,9e2aaad8e26f4fe09f27ad0fa94da691
final_reproduce,reproduce,исходная,воспроизведение w6_seeds_1500 из final_choice.json,VotingClassifier,58,0.7547169811320755,0.7172131147540983,0.7359650479430869,,4a7c612bf5c14ffa89cf258fb1236929
w6_seeds_1500_holdout,holdout,исходная,заключительная оценка зафиксированного финала на 2026-04-17..04-19,VotingClassifier,58,,,,,f02bf02ff2d0470ea86c2fa52662507b
w10_anchor,search,исправленная доля повторных просмотров,опора после исправления item_repeat_share: та же конфигурация финала на исправленных признаках,VotingClassifier,58,0.7431192660550459,0.6796875,0.7114033830275229,anchor,9c6f9396b6444ac58ffe705807a46949
w10_geo_l2_10,search,исправленная доля повторных просмотров,"CatBoost с гео и категорией при l2 10, первый компонент смеси из проверки этапа",VotingClassifier,62,0.7960199004975125,0.7131147540983607,0.7545673272979365,accepted,c5713540c26a4d4bb4592df8b42d0824
w10_hgb,search,исправленная доля повторных просмотров,"HistGradientBoosting на признаках опоры, второй компонент смеси",HistGradientBoostingClassifier,58,0.6837606837606838,0.6744186046511628,0.6790896442059233,rejected,32128904d0f243c7b78a59df17c7a221
w10_drop_items_per_view,search,исправленная доля повторных просмотров,проверка дублирующего столбца: опора без items_per_view,VotingClassifier,57,0.7373271889400922,0.6615969581749049,0.6994620735574986,rejected,46cc76a994bc462dbc0aebd54d8c3b52
w10_blend_hgb_25,search,исправленная доля повторных просмотров,"смесь w10_geo_l2_10 и w10_hgb, вес HGB 0.25: вариант найден проверкой этапа, здесь компоненты и смесь воспроизведены от признаков",blend,0,0.7740384615384616,0.7565217391304347,0.7652801003344482,alternative,c00487169b594df698b026827db2b024
w10_blend_hgb_50,search,исправленная доля повторных просмотров,"смесь w10_geo_l2_10 и w10_hgb, вес HGB 0.5: вариант найден проверкой этапа, здесь компоненты и смесь воспроизведены от признаков",blend,0,0.7476635514018691,0.7404255319148936,0.7440445416583814,rejected,3436dc1e6f2c4f6cbf073f0f0f70a6ab
w10_blend_hgb_75,search,исправленная доля повторных просмотров,"смесь w10_geo_l2_10 и w10_hgb, вес HGB 0.75: вариант найден проверкой этапа, здесь компоненты и смесь воспроизведены от признаков",blend,0,0.7476635514018691,0.7044534412955465,0.7260584963487078,rejected,388c79c0e2fb42f8889a661c9bd3b8b3
w11_control_shuffled,control,исправленная доля повторных просмотров,"контроль: перемешаны только обучающие метки каждого разбиения, проверочные настоящие",VotingClassifier,58,0.08785120696478037,0.0786056049213944,0.08322840594308739,control,e3aeb9edb3844ee68e8876fd0b9667fb
w12_logreg_plain,search,исправленная доля повторных просмотров,"логистическая модель: курсор и доли без log1p, индикаторы пропусков, C 0.3",Pipeline,58,0.5128205128205128,0.5523809523809524,0.5326007326007326,rejected,ad9095d0e1684c0a8d3044e960be8fab
w12_logreg_splines,search,исправленная доля повторных просмотров,"та же модель со сплайнами по интервалу, курсору, глубине выдачи и пику за минуту",Pipeline,58,0.5536332179930796,0.5775577557755776,0.5655954868843286,rejected,31d224dc18e24ed6a0b220e7abb42e41
reproduce_w10_geo_l2_10,reproduce,исправленная доля повторных просмотров,воспроизведение w10_geo_l2_10 из final_choice.json,VotingClassifier,62,0.7960199004975125,0.7131147540983607,0.7545673272979365,reproduce,e46bad76f8484615b1d6c1aa035c0968
w10_geo_l2_10_holdout,holdout,исправленная доля повторных просмотров,заключительная оценка зафиксированного финала на 2026-04-17..04-19,VotingClassifier,62,,,,,b66e0d8d80eb4ee792d7358f951a89dd
C_no_geo,search,исправленная доля и новые семейства,убраны только четыре гео-признака при l2 10: вклад географии отдельно от регуляризации,VotingClassifier,58,0.7729468599033816,0.7056451612903226,0.7392960105968521,main_rule_failed,456d088f28e742089c9de12770285ce1
C_l2_3,search,исправленная доля и новые семейства,те же 62 признака при l2 3: второй недостающий контроль сравнения 2x2,VotingClassifier,62,0.7547169811320755,0.7016129032258065,0.728164942178941,main_rule_failed,04604da8de8347d9a4103ec28b2e2e65
R0,search,исправленная доля и новые семейства,добавлены существующие gap_mad_rel и gap_min_over_median: дешёвый контроль формы ритма,VotingClassifier,64,0.7960199004975125,0.635036496350365,0.7155281984239388,main_rule_failed,e9b93fc7f3ee4a989610fd5a0fc8514c
R1,search,исправленная доля и новые семейства,пакет локального ритма: интервалы 1..1800 с между уникальными timestamp по всем событиям и по просмотрам,VotingClassifier,70,0.7970297029702971,0.696,0.7465148514851485,main_rule_failed,149a6ccddd0d4c0eb71144aff57ae175
S,search,исправленная доля и новые семейства,"пять признаков связи поиска и последующих просмотров: контекст последнего поиска за 600 с, отклик за 60 с",VotingClassifier,67,0.7799043062200957,0.68359375,0.7317490281100478,main_rule_failed,4457f6f22b4d47778e4d11c2f80a4cdb
R1_S,search,исправленная доля и новые семейства,оба пакета R1 и S вместе: сочетание задано заранее,VotingClassifier,75,0.7740384615384616,0.651685393258427,0.7128619273984442,main_rule_failed,87b1cc462e2241d8929d2e8cbddd7d90
W_android,search,исправленная доля и новые семейства,"признаки B, вес android 1.5 для обоих классов, нормировка на среднее по train",VotingClassifier,62,0.7892156862745098,0.7113821138211383,0.750298900047824,main_rule_failed,5f6d52c2aa794ff9944ba83e1c57127b
T,search,исправленная доля и новые семейства,четыре зависимых от порядка признака заменены версиями по группам timestamp,VotingClassifier,62,0.7652582159624414,0.725,0.7451291079812207,main_rule_failed,47ddfd6da79c4948b351636e726c7efd
R1_S_HGB,search,исправленная доля и новые семейства,75% вероятности R1_S и 25% сохранённого w10_hgb: одно фиксированное сочетание,blend,0,0.8,0.6877470355731226,0.7438735177865613,main_rule_failed,d8b1ca991d5243319ca7004db3419430
reproduce_w10_geo_l2_10_2,reproduce,исправленная доля и новые семейства,воспроизведение w10_geo_l2_10 из final_choice.json,VotingClassifier,62,0.7960199004975125,0.7131147540983607,0.7545673272979365,reproduce,dad0c01572854a049587b6893c09ce47
